"Unidade Gestora / Conta Corrente";"Conta 721110101 (A)";"Contas 82114 (B)";"Contas 82115 (C)";"Diferença = (A) - (B) - (C) "
"   1.5.01.108.0.000000";13473300152,59;9378676720,67;3915044373,4;179579058,52
"   1.5.01.120.0.000000";37910331,49;33005684,36;23401768,02;-18497120,89
"   1.5.01.120.0.026040";22570614,11;0;0;22570614,11
"   1.5.01.120.1.000000";24837464,47;0;0;24837464,47
"   1.5.01.120.1.016610";82961632,84;0;5360,74;82956272,1
"   1.5.01.120.1.018010";64907753,59;12917685,95;3776681,69;48213385,95
"   1.5.01.120.1.018020";21102228,63;0;0;21102228,63
"   1.5.01.120.1.025010";35676571,89;2116560,46;2853224,94;30706786,49
"   1.5.01.120.1.026040";31909053;10003406,22;9644764,2;12260882,58
"   1.5.01.120.1.026110";384704330,03;204983930,39;194689278;-14968878,36
"   1.5.01.120.1.166100";8664824,17;4405992,14;481183;3777649,03
"   1.5.01.120.1.180100";335602,82;2045628,77;0;-1710025,95
"   1.5.01.120.1.260400";4446520,74;0;7074746,17;-2628225,43
"   1.5.01.120.1.261100";11901697,01;55397588,9;0;-43495891,89
"   1.5.01.145.0.000000";3562409897,71;1471009884,52;278022,21;2091121990,98
"   1.5.01.145.1.004792";0;7733333,33;0;-7733333,33
"   1.5.01.145.1.007526";1885770,69;1780875486,85;2842524,22;-1781832240,38
"   1.5.01.145.1.047928";0;0,01;0;-0,01
"   1.5.01.145.2.210020";0;319872,42;0;-319872,42
"   1.5.01.145.2.210022";0;2606117,78;0;-2606117,78
"   1.5.01.145.2.210028";0;1039367,29;0;-1039367,29
"   1.5.01.145.2.210030";0;449022,76;0;-449022,76
"   1.5.01.145.2.210033";0;72487,92;0;-72487,92
"   1.5.01.145.2.210034";0;229679,53;0;-229679,53
"   1.5.01.145.2.210041";0;1572863,41;0;-1572863,41
"   1.5.01.145.2.210045";0;8565168,16;0;-8565168,16
"   1.5.01.145.2.210046";0;980088,8;0;-980088,8
"   1.5.01.145.2.210052";0;715595,26;0;-715595,26
"   1.5.01.145.2.210063";0;22102,9;0;-22102,9
"   1.5.01.145.2.210064";0;53090,27;0;-53090,27
"   1.5.01.145.2.210065";0;32372,66;0;-32372,66
"   1.5.01.145.2.210067";0;21506,08;0;-21506,08
"   1.5.01.145.2.210068";0;30950,78;0;-30950,78
"   1.5.01.145.2.210069";0;24500;0;-24500
"   1.5.01.145.2.210071";0;1008032,27;0;-1008032,27
"   1.5.01.145.2.210072";0;305728,47;0;-305728,47
"   1.5.01.145.2.210074";0;5447758,16;0;-5447758,16
"   1.5.01.145.2.210097";0;49635,39;0;-49635,39
"   1.5.01.145.2.210098";0;40661,72;0;-40661,72
"   1.5.01.145.2.210099";0;94200,33;0;-94200,33
"   1.5.01.145.2.210114";0;511569,27;0;-511569,27
"   1.5.01.145.2.210116";0;142702,98;0;-142702,98
"   1.5.01.145.2.210117";0;65279,96;0;-65279,96
"   1.5.01.145.2.210119";0;530036,17;0;-530036,17
"   1.5.01.145.2.210121";0;111280,41;0;-111280,41
"   1.5.01.145.2.210125";0;41174,42;0;-41174,42
"   1.5.01.145.2.210128";0;3535462,86;0;-3535462,86
"   1.5.01.145.2.220015";0;1424359,5;0;-1424359,5
"   1.5.01.145.2.240119";0;337100,3;0;-337100,3
"   1.5.01.230.0.000000";1606917594,49;1188099937,83;86915798,9;331901857,76
"   1.5.01.230.1.000020";8034878,46;8034077,49;0;800,97
"   1.5.01.230.1.000021";161924763,35;160331716,13;593047,05;1000000,17
"   1.5.01.230.1.000022";344312186,44;341824238,14;1860130,85;627817,45
"   1.5.01.230.1.000070";545,36;0;545,36;0
"   1.5.01.230.2.230108";6940623;6940623;0;0
"   1.5.01.230.2.230109";11968627,89;11968627,89;0;0
"   1.5.02.129.0.000000";1859433411,48;1859433411,48;0;0
"   1.5.50.105.0.000000";1480300883,8;0;1426021509,87;54279373,93
"   1.5.70.212.2.210085";211646,92;0;0;211646,92
"   1.6.00.225.0.000000";688303,18;0;267570,22;420732,96
"   1.7.00.212.2.210076";38643,04;0;0;38643,04
"   1.7.00.214.0.000000";61,12;0;0;61,12
"   1.7.00.214.2.004926";108,59;0;0;108,59
"   1.7.04.104.0.000000";40317663658,65;35648794734,3;1697774311,39;2971094612,96
"   1.7.04.104.1.000002";21473408,6;0;0;21473408,6
"   1.7.04.104.2.003963";169555,22;0;0;169555,22
"   1.7.04.104.2.007456";0;0;4000000;-4000000
"   1.7.04.104.2.008004";0;0;1785522,53;-1785522,53
"   1.7.04.193.0.000000";1590432825,76;0;1120084589,48;470348236,28
"   1.7.07.198.0.000000";43833311,48;0;19869503,14;23963808,34
"   1.7.07.198.2.160061";0;0;99210,9;-99210,9
"   1.7.07.198.2.160062";0;0;395868;-395868
"   1.7.07.198.2.160063";0;0;125103,11;-125103,11
"   1.7.07.198.2.160065";0;0;55078,92;-55078,92
"   1.7.07.198.2.160068";0;0;25901,62;-25901,62
"   1.7.07.198.2.160069";0;0;144046,71;-144046,71
"   1.7.07.198.2.160071";0;0;41584,37;-41584,37
"   1.7.07.198.2.160072";0;0;170827,98;-170827,98
"   1.7.07.198.2.160073";0;0;78399,37;-78399,37
"   1.7.07.198.2.160074";0;0;122223,29;-122223,29
"   1.7.07.198.2.160078";0;0;78755;-78755
"   1.7.07.198.2.160079";0;0;64479,02;-64479,02
"   1.7.07.198.2.160082";0;0;252791,86;-252791,86
"   1.7.07.198.2.160083";0;0;24820,48;-24820,48
"   1.7.07.198.2.160086";0;74657,09;0;-74657,09
"   1.7.07.198.2.160087";0;0;126280,01;-126280,01
"   1.7.07.198.2.160088";0;0;131384;-131384
"   1.7.07.198.2.160091";0;0;101558,15;-101558,15
"   1.7.07.198.2.160093";0;0;45419,89;-45419,89
"   1.7.07.198.2.160095";0;0;141751,64;-141751,64
"   1.7.07.198.2.160096";0;0;90211,6;-90211,6
"   1.7.07.198.2.160097";0;0;109665,29;-109665,29
"   1.7.07.198.2.160098";0;0;129250;-129250
"   1.7.07.198.2.160099";0;0;80664,51;-80664,51
"   1.7.07.198.2.160100";0;0;80176,58;-80176,58
"   1.7.07.198.2.160101";0;0;203895,78;-203895,78
"   1.7.07.198.2.160102";0;0;88913,51;-88913,51
"   1.7.07.198.2.160104";0;0;179214,37;-179214,37
"   1.7.07.198.2.160106";0;0;80860,22;-80860,22
"   1.7.07.198.2.160107";0;0;34654,56;-34654,56
"   1.7.07.198.2.160108";0;0;37637,89;-37637,89
"   1.7.07.198.2.160109";0;0;75281,93;-75281,93
"   1.7.07.198.2.160110";0;0;24731,68;-24731,68
"   1.7.07.198.2.160112";0;124288,54;0;-124288,54
"   1.7.07.198.2.160113";0;0;125009,7;-125009,7
"   1.7.07.198.2.160115";0;0;55833,47;-55833,47
"   1.7.07.198.2.160117";0;0;224299,88;-224299,88
"   1.7.07.198.2.160123";0;0;128886,1;-128886,1
"   1.7.07.198.2.160124";0;0;36963,81;-36963,81
"   1.7.07.198.2.160126";0;0;63655,91;-63655,91
"   1.7.07.198.2.160127";0;0;96800;-96800
"   1.7.07.198.2.160130";0;0;104138,43;-104138,43
"   1.7.07.198.2.160131";0;0;547429,02;-547429,02
"   1.7.07.198.2.160132";0;0;63135,9;-63135,9
"   1.7.07.198.2.160135";0;0;101485,54;-101485,54
"   1.7.07.198.2.160137";0;0;73769,45;-73769,45
"   1.7.07.198.2.160138";0;0;52078,85;-52078,85
"   1.7.07.198.2.160139";0;24649,13;0;-24649,13
"   1.7.07.198.2.160141";0;0;33922,85;-33922,85
"   1.7.07.198.2.160142";0;0;144000;-144000
"   1.7.07.198.2.160145";0;0;39919,35;-39919,35
"   1.7.07.198.2.160146";0;0;28774,76;-28774,76
"   1.7.07.198.2.160147";0;0;62139,89;-62139,89
"   1.7.07.198.2.160148";0;0;157626,36;-157626,36
"   1.7.07.198.2.160149";0;0;105002,33;-105002,33
"   1.7.07.198.2.160150";0;0;51345,13;-51345,13
"   1.7.07.198.2.160151";0;0;51948,17;-51948,17
"   1.7.07.198.2.160152";0;0;78396,38;-78396,38
"   1.7.07.198.2.160155";0;0;94560,14;-94560,14
"   1.7.07.198.2.160157";0;0;33645,6;-33645,6
"   1.7.07.198.2.160158";0;0;86809,6;-86809,6
"   1.7.07.198.2.160160";0;0;35564,52;-35564,52
"   1.7.07.198.2.160162";0;41106,09;0;-41106,09
"   1.7.07.198.2.160163";0;0;169964,64;-169964,64
"   1.7.07.198.2.160165";0;57160,23;0;-57160,23
"   1.7.07.198.2.160166";0;0;54918,24;-54918,24
"   1.7.07.198.2.160172";0;0;124952,21;-124952,21
"   1.7.07.198.2.160179";0;0;147186;-147186
"   1.7.07.198.2.160192";0;0;99404,61;-99404,61
"   1.7.07.198.2.160205";0;0;183337,03;-183337,03
"   1.7.07.198.2.180009";0;0;541668,35;-541668,35
"   1.7.07.198.2.190014";869,07;0;90869,07;-90000
"   1.7.07.198.2.190040";0;0;776278,7;-776278,7
"   1.7.07.198.2.200017";0;0;293157,85;-293157,85
"   1.7.07.198.2.200018";0;0;601096,1;-601096,1
"   1.7.07.198.2.200041";0;0;101230,55;-101230,55
"   1.7.07.198.2.200042";0;0;171289,25;-171289,25
"   1.7.07.198.2.200043";0;0;31830,72;-31830,72
"   1.7.07.198.2.200046";0;0;2920627,02;-2920627,02
"   1.7.07.198.2.200047";0;0;248385,8;-248385,8
"   1.7.08.101.0.000000";7058145,95;88202,54;0;6969943,41
"   1.7.09.101.0.000000";5899225,89;153473,24;0;5745752,65
"   1.7.11.101.0.000000";45638803,35;0;0;45638803,35
"   1.7.49.104.0.000000";22825537376,52;22799843767,96;0;25693608,56
"   1.7.50.126.0.000000";288867210,01;4590399,5;217203868,78;67072941,73
"   1.7.50.188.2.000005";15644,74;15644,74;0;0
"   1.7.52.230.0.000000";131310761,21;127574312,49;894981,24;2841467,48
"   1.7.52.230.1.000011";300000;0;275844,14;24155,86
"   1.7.53.132.0.000000";126302225,46;15443844,64;38841372,58;72017008,24
"   1.7.53.232.0.000000";233273249,93;215024504,19;12335389,6;5913356,14
"   1.7.53.232.1.000002";1795620927,92;1770751900,36;11944065,73;12924961,83
"   1.7.53.232.1.000003";1084439183,94;1065767928,23;14505706,11;4165549,6
"   1.7.54.111.0.000000";0;53116776,11;0;-53116776,11
"   1.7.54.111.1.000103";1116586527,87;0;0;1116586527,87
"   1.7.54.111.1.000104";170919358,89;0;0;170919358,89
"   1.7.54.111.1.000105";200932103,59;0;0;200932103,59
"   1.7.54.111.2.007720";0;0;174388,05;-174388,05
"   1.7.54.111.2.121195";0;0;616430,54;-616430,54
"   1.7.54.111.3.121089";1588320,24;526165,9;0;1062154,34
"   1.7.54.111.3.121146";455219,63;0;0;455219,63
"   1.7.54.111.3.121169";881152,61;0;0;881152,61
"   1.7.54.111.3.121170";12619,1;0;0;12619,1
"   1.7.54.111.3.121172";44,62;0;0;44,62
"   1.7.54.111.3.121173";3657493,76;0;1823136,02;1834357,74
"   1.7.54.111.3.121175";405830,4;0;0;405830,4
"   1.7.54.111.3.121176";67,26;0;0;67,26
"   1.7.54.111.3.121177";0,64;0;0;0,64
"   1.7.54.111.3.121178";956534,89;0;11367,72;945167,17
"   1.7.54.111.3.121187";453878556,84;3347,45;411166064,06;42709145,33
"   1.7.54.111.3.121188";1500326,58;0;659045,72;841280,86
"   1.7.54.111.3.121189";35894498,48;0;35084207,94;810290,54
"   1.7.54.111.3.121190";549178,51;0;574905,78;-25727,27
"   1.7.54.111.3.121191";259731870,44;0;50630549,8;209101320,64
"   1.7.54.111.3.121192";141297624,04;79459,1;147238232,79;-6020067,85
"   1.7.54.111.3.121194";90818138,91;0;90633222,9;184916,01
"   1.7.54.111.3.121195";17310690,84;0;16687519,75;623171,09
"   1.7.54.111.3.121196";4710,19;0;0;4710,19
"   1.7.54.111.3.121199";445436603,7;0;446787709,43;-1351105,73
"   1.7.54.111.3.121203";2899980562,12;0;2900000000;-19437,88
"   1.7.54.111.3.211009";4009964,29;0;0;4009964,29
"   1.7.54.111.3.211010";2143577,92;0;0;2143577,92
"   1.7.54.111.3.211013";39462,59;0;0;39462,59
"   1.7.54.111.3.211014";1100813,5;0;0;1100813,5
"   1.7.54.111.3.211015";1895,75;0;0;1895,75
"   1.7.54.111.3.211016";682384,08;0;0;682384,08
"   1.7.54.111.3.211017";36146798,27;0;28389272,74;7757525,53
"   1.7.54.111.3.211018";0;0;1459999,4;-1459999,4
"   1.7.54.111.3.211020";30154319,91;2861,14;29837207,55;314251,22
"   1.7.54.111.3.211021";6186337,05;0;1758165,73;4428171,32
"   1.7.54.111.3.211022";45173269,75;0;38480632,77;6692636,98
"   1.7.54.111.3.211023";117095,6;0;0;117095,6
"   1.7.54.111.3.211024";194628993,18;0;187345729;7283264,18
"   1.7.54.111.3.211025";364630851,23;107830277,82;213684945,54;43115627,87
"   1.7.54.111.3.211026";40578071,69;0;28617210,54;11960861,15
"   1.7.54.111.3.211027";258554153,78;0;215882948,7;42671205,08
"   1.7.54.111.3.211028";628006,48;0;0;628006,48
"   1.7.54.111.3.211029";1193273,77;0;0;1193273,77
"   1.7.54.111.3.211030";4981865,67;0;1522573,79;3459291,88
"   1.7.54.111.3.211031";24099345,58;0;29506408,8;-5407063,22
"   1.7.54.111.3.211032";42930453,94;0;41783695,21;1146758,73
"   1.7.54.111.3.211033";12088445,03;0;8772798,08;3315646,95
"   1.7.54.111.3.211034";287272,16;0;0;287272,16
"   1.7.54.111.3.211035";29406992,69;22816,15;22475813,58;6908362,96
"   1.7.55.133.0.000000";1505619669,75;0;1500087134,6;5532535,15
"   1.7.55.233.0.000000";6188000;0;6188000;0
"   1.7.56.233.0.000000";1081786,18;0;822411,7;259374,48
"   1.7.57.190.0.000000";0;285692430,27;132932848,69;-418625278,96
"   1.7.57.190.1.000151";4270045505,59;3614199819,81;0;655845685,78
"   1.7.57.191.0.000000";363228010,75;0;0;363228010,75
"   1.7.59.102.0.000000";2111902844,55;722676606,33;680662129,52;708564108,7
"   1.7.59.103.0.000000";3751789596,85;2240771780,14;1267145450,61;243872366,1
"   1.7.59.103.1.007526";49764167,5;49762667,59;0;1499,91
"   1.7.59.103.1.047928";101872350;98601690;1750142,4;1520517,6
"   1.7.59.103.2.007039";109273,02;0;109273,02;0
"   1.7.59.103.2.007096";199916,67;0;199916,67;0
"   1.7.59.103.2.007098";47000;0;47000;0
"   1.7.59.103.2.007099";31500;0;31500;0
"   1.7.59.103.2.007100";84872,75;0;84872,75;0
"   1.7.59.103.2.007101";10200;0;10200;0
"   1.7.59.103.2.007102";10858,5;0;10858,5;0
"   1.7.59.103.2.007103";15299,32;0;15299,32;0
"   1.7.59.103.2.007106";72333,33;0;72333,33;0
"   1.7.59.103.2.007108";13953,03;0;13953,03;0
"   1.7.59.103.2.007109";8696,25;0;8696,25;0
"   1.7.59.103.2.007111";39843,36;0;39843,36;0
"   1.7.59.103.2.007114";15999,96;0;15999,96;0
"   1.7.59.103.2.007118";28520,88;0;28520,88;0
"   1.7.59.103.2.007121";15992,58;0;15992,58;0
"   1.7.59.103.2.007124";46897,29;0;46897,29;0
"   1.7.59.103.2.007127";20410;0;20410;0
"   1.7.59.103.2.007130";20285,28;0;20285,28;0
"   1.7.59.103.2.007131";16275,33;0;16275,33;0
"   1.7.59.103.2.007132";47878,81;0;47878,81;0
"   1.7.59.103.2.007133";25381,03;0;25381,03;0
"   1.7.59.103.2.007139";12000;0;12000;0
"   1.7.59.103.2.007143";12323,38;0;12323,38;0
"   1.7.59.103.2.007146";12720;0;12720;0
"   1.7.59.103.2.007151";9300;0;9300;0
"   1.7.59.103.2.007154";12000;0;12000;0
"   1.7.59.103.2.007155";28046,88;0;28046,88;0
"   1.7.59.103.2.007158";28000;0;28000;0
"   1.7.59.103.2.007160";24000;0;24000;0
"   1.7.59.103.2.007161";17969,1;0;17969,1;0
"   1.7.59.103.2.007165";29607,34;0;29607,34;0
"   1.7.59.103.2.007167";17879,1;0;17879,1;0
"   1.7.59.103.2.007178";21564,57;0;21564,57;0
"   1.7.59.103.2.007179";32000;0;32000;0
"   1.7.59.103.2.007180";28368,67;0;28368,67;0
"   1.7.59.103.2.007183";66881,46;0;66881,46;0
"   1.7.59.103.2.007185";10548,86;0;10548,86;0
"   1.7.59.103.2.007187";19889,68;0;19889,68;0
"   1.7.59.103.2.007189";22863,54;0;22863,54;0
"   1.7.59.103.2.007190";20445,05;0;20445,05;0
"   1.7.59.103.2.007194";18000;0;18000;0
"   1.7.59.103.2.007204";11437,5;0;11437,5;0
"   1.7.59.103.2.007205";25000;0;25000;0
"   1.7.59.103.2.007208";16000;0;16000;0
"   1.7.59.103.2.007211";56525;0;56525;0
"   1.7.59.103.2.007212";32000;0;32000;0
"   1.7.59.103.2.007213";25145,7;0;25145,7;0
"   1.7.59.103.2.007215";15578;0;15578;0
"   1.7.59.103.2.007219";18601,95;0;18601,95;0
"   1.7.59.103.2.007220";27987;0;27987;0
"   1.7.59.103.2.007223";10290,37;0;10290,37;0
"   1.7.59.103.2.007230";32027,49;0;32027,49;0
"   1.7.59.103.2.007233";18467,04;0;18467,04;0
"   1.7.59.103.2.007234";25780,46;0;25780,46;0
"   1.7.59.103.2.007235";7680;0;7680;0
"   1.7.59.103.2.007236";20000;0;20000;0
"   1.7.59.103.2.007241";11915,33;0;11915,33;0
"   1.7.59.103.2.007242";26173,36;0;26173,36;0
"   1.7.59.103.2.007270";20000;0;20000;0
"   1.7.59.103.2.007271";32645,75;0;32645,75;0
"   1.7.59.103.2.007392";5107611,2;0;5107611,2;0
"   1.7.59.103.2.007418";59895,28;0;59895,28;0
"   1.7.59.103.2.007424";429533,7;0;429533,7;0
"   1.7.59.103.2.007425";420949,2;0;420949,2;0
"   1.7.59.103.2.007573";1015000;0;1015000;0
"   1.7.59.103.2.007629";404329,33;0;404329,33;0
"   1.7.59.103.2.007760";27796,37;0;27796,37;0
"   1.7.59.103.2.007809";21038,94;0;21038,94;0
"   1.7.59.103.2.007838";39988,15;0;39988,15;0
"   1.7.59.103.2.160061";731383,98;283891,03;447492,95;-0
"   1.7.59.103.2.160062";593802;0;593802;0
"   1.7.59.103.2.160063";655629,28;67716,49;587912,79;0
"   1.7.59.103.2.160065";468921,08;127600;341321,08;0
"   1.7.59.103.2.160066";164831,71;0;164831,71;0
"   1.7.59.103.2.160068";585376,53;145049,05;440327,48;0
"   1.7.59.103.2.160069";902689,89;254481,72;648208,17;0
"   1.7.59.103.2.160070";29321,43;0;29321,43;0
"   1.7.59.103.2.160071";815230,67;141563,93;673666,74;0
"   1.7.59.103.2.160072";1153396,8;0;1153396,8;0
"   1.7.59.103.2.160073";1591762,03;317287,68;1274474,35;0
"   1.7.59.103.2.160074";976323,41;285213,37;691110,04;0
"   1.7.59.103.2.160075";249600,67;0;249600,67;0
"   1.7.59.103.2.160076";584950,51;0;584950,51;0
"   1.7.59.103.2.160077";110766,46;0;110766,46;0
"   1.7.59.103.2.160078";469766;232112;237654;0
"   1.7.59.103.2.160079";1302476,14;257916,07;1044560,07;-0
"   1.7.59.103.2.160080";293184,71;0;293184,71;0
"   1.7.59.103.2.160082";1337096,77;0;1337096,77;0
"   1.7.59.103.2.160083";373726,36;38546,84;335179,52;0
"   1.7.59.103.2.160084";270063,86;0;270063,86;0
"   1.7.59.103.2.160085";453690,17;0;453690,17;0
"   1.7.59.103.2.160086";394053,93;209728,39;184325,54;-0
"   1.7.59.103.2.160087";1386784,03;410984,03;975800;0
"   1.7.59.103.2.160088";1853118;456823;1396295;0
"   1.7.59.103.2.160091";795690;190000;605690;0
"   1.7.59.103.2.160092";122793,12;0;122793,12;0
"   1.7.59.103.2.160093";547531,07;132023,07;415508;-0
"   1.7.59.103.2.160094";52071,13;0;52071,13;0
"   1.7.59.103.2.160095";1360942,16;236585,68;1124356,48;0
"   1.7.59.103.2.160096";846971,93;419584,35;427387,58;0
"   1.7.59.103.2.160097";2524023,52;794377,58;1729645,84;0,1
"   1.7.59.103.2.160098";861668,72;82502,06;779166,66;-0
"   1.7.59.103.2.160099";1175454,1;397568,45;777885,65;0
"   1.7.59.103.2.160100";610306,46;234348,84;375957,62;0
"   1.7.59.103.2.160101";1555131,14;428006,13;1127125,01;-0
"   1.7.59.103.2.160102";1351537,64;672368,51;679169,13;-0
"   1.7.59.103.2.160104";1061122,83;563391,79;497731,04;0
"   1.7.59.103.2.160105";77880,74;0;77880,74;0
"   1.7.59.103.2.160106";1559139,78;440000;1119139,78;0
"   1.7.59.103.2.160107";716202,77;205468,63;510734,14;0
"   1.7.59.103.2.160108";653706,17;181897,14;471809,03;0
"   1.7.59.103.2.160109";876184,92;196184,92;680000;0
"   1.7.59.103.2.160110";261940,72;0;261940,72;0
"   1.7.59.103.2.160112";605174,34;355817,7;249356,64;-0
"   1.7.59.103.2.160113";885111,96;197499,96;687612;0
"   1.7.59.103.2.160114";623927,55;242656,36;381271,19;0
"   1.7.59.103.2.160115";631053,35;118443,11;512610,24;0
"   1.7.59.103.2.160116";1234446,91;867780,24;366666,67;-0
"   1.7.59.103.2.160117";2301352,32;1083724,5;1217627,82;-0
"   1.7.59.103.2.160118";55638,09;0;55638,09;0
"   1.7.59.103.2.160119";42355,77;0;42355,77;0
"   1.7.59.103.2.160121";123000;0;123000;0
"   1.7.59.103.2.160123";865486,71;158683,92;706802,79;-0
"   1.7.59.103.2.160124";350806,45;95806,45;255000;0
"   1.7.59.103.2.160126";1056344,09;160000;896344,09;0
"   1.7.59.103.2.160127";1270499,88;388299,88;882200;-0
"   1.7.59.103.2.160128";2541420,32;0;2541420,32;0
"   1.7.59.103.2.160129";4824719,7;0;4824719,7;0
"   1.7.59.103.2.160130";959410,42;288558,41;670852,01;0
"   1.7.59.103.2.160131";3870710,29;0;3870710,29;0
"   1.7.59.103.2.160132";1024927,74;320592,92;704334,82;0
"   1.7.59.103.2.160133";396543;0;396543;0
"   1.7.59.103.2.160135";977976,38;179461,92;798514,46;0
"   1.7.59.103.2.160136";125586,9;0;125586,9;0
"   1.7.59.103.2.160137";1551641;425410,45;1126230,55;0
"   1.7.59.103.2.160138";950844,27;142391,29;808452,98;0
"   1.7.59.103.2.160139";434246,17;168657,48;265588,69;-0
"   1.7.59.103.2.160140";241385,9;0;241385,9;0
"   1.7.59.103.2.160141";877220,45;253115,18;624105,27;0
"   1.7.59.103.2.160142";1148009,44;345009,44;803000;0
"   1.7.59.103.2.160143";108333,35;0;108333,35;0
"   1.7.59.103.2.160144";829543,11;262060,94;567482,17;-0
"   1.7.59.103.2.160145";758462,41;111772,45;646689,96;0
"   1.7.59.103.2.160146";584175,24;164450;419725,24;0
"   1.7.59.103.2.160147";646666,66;106666,66;540000;0
"   1.7.59.103.2.160148";901971,21;157624,36;744346,85;0
"   1.7.59.103.2.160149";1642553,25;513090,12;1129463,13;0
"   1.7.59.103.2.160150";486035,18;146787,76;339247,42;0
"   1.7.59.103.2.160151";1262107,07;414055,24;848051,83;0
"   1.7.59.103.2.160152";1618101,71;285362,89;1332738,82;-0
"   1.7.59.103.2.160153";1462062,69;490470,81;971591,88;-0
"   1.7.59.103.2.160154";75190,71;0;75190,71;0
"   1.7.59.103.2.160155";964106,7;282595,74;681510,96;0
"   1.7.59.103.2.160156";988172,05;513333,34;474838,71;0
"   1.7.59.103.2.160157";520565,05;73953,91;446611,14;0
"   1.7.59.103.2.160158";579974,8;132056,16;447918,64;0
"   1.7.59.103.2.160159";137872,73;0;137872,73;0
"   1.7.59.103.2.160160";553440,98;132255,5;421185,48;0
"   1.7.59.103.2.160161";140490,33;0;140490,33;0
"   1.7.59.103.2.160162";569806,45;288000;281806,45;-0
"   1.7.59.103.2.160163";1141191,71;218526,05;922665,66;-0
"   1.7.59.103.2.160164";442207,79;261480,24;180727,55;0
"   1.7.59.103.2.160165";325531,71;138104,82;187426,89;0
"   1.7.59.103.2.160166";1013917,71;285976,79;727940,92;-0
"   1.7.59.103.2.160172";1944092,26;569161,98;1374930,28;0
"   1.7.59.103.2.160176";91664,98;0;91664,98;0
"   1.7.59.103.2.160179";1039924,94;0;1039924,94;0
"   1.7.59.103.2.160190";73066,13;0;73066,13;0
"   1.7.59.103.2.160191";189900;0;189900;0
"   1.7.59.103.2.160192";912575,37;363040,67;549534,7;0
"   1.7.59.103.2.160196";2695692,35;212689,05;2483003,3;0
"   1.7.59.103.2.160205";812487,53;325000;487487,53;0
"   1.7.59.103.2.160210";3283698,01;0;3283698,01;0
"   1.7.59.103.2.160225";2685674,87;0;2685674,87;0
"   1.7.59.103.2.180009";2306624,1;0;2306624,1;0
"   1.7.59.103.2.180034";3069069,89;0;3069069,89;0
"   1.7.59.103.2.180042";1311736,64;0;1311736,64;0
"   1.7.59.103.2.180043";796624,91;0;796624,91;0
"   1.7.59.103.2.180045";2614095,3;0;2614095,3;0
"   1.7.59.103.2.180063";197537,32;0;197537,32;0
"   1.7.59.103.2.190014";239967,96;0;239967,96;0
"   1.7.59.103.2.190040";1335214,47;0;1335214,47;0
"   1.7.59.103.2.190041";8892,93;0;8892,93;0
"   1.7.59.103.2.200017";264611,64;0;264611,64;0
"   1.7.59.103.2.200018";647814,35;81666,67;566147,68;-0
"   1.7.59.103.2.200026";2568039,63;0;2568039,63;0
"   1.7.59.103.2.200035";920749,38;0;920749,38;0
"   1.7.59.103.2.200038";772575,44;0;772575,44;0
"   1.7.59.103.2.200040";834643,22;164174,12;670469,1;0
"   1.7.59.103.2.200042";2647552,42;2647552,42;0;0
"   1.7.59.103.2.200043";13114,58;0;13114,58;0
"   1.7.59.103.2.210152";1487350,97;1487350,97;0;0
"   1.7.59.103.2.210153";333108,06;333108,06;0;0
"   1.7.59.103.2.210166";401986,4;401986,4;0;0
"   1.7.59.103.2.210171";221319,45;221319,45;0;0
"   1.7.59.103.2.220036";539533,1;539533,1;0;0
"   1.7.59.103.2.220037";1263004,88;1263004,88;0;0
"   1.7.59.103.2.220039";295266,8;295266,8;0;0
"   1.7.59.103.2.220040";1641741,2;1641741,2;0;0
"   1.7.59.103.2.220048";215999,91;215999,91;0;0
"   1.7.59.103.2.220051";144449,61;144449,61;0;0
"   1.7.59.103.2.220052";576000;576000;0;0
"   1.7.59.103.2.220071";4751,85;0;0;4751,85
"   1.7.59.103.2.220095";8275,05;8275,05;0;0
"   1.7.59.103.2.220096";79851,53;79851,53;0;0
"   1.7.59.103.2.220114";58116,68;29058,34;0;29058,34
"   1.7.59.103.2.220116";26133,33;26133,33;0;0
"   1.7.59.103.2.220121";217124,46;217124,46;0;0
"   1.7.59.103.2.230007";33336,33;33336,33;0;0
"   1.7.59.103.2.230013";15952,91;15952,91;0;0
"   1.7.59.103.2.230015";16743,13;16743,13;0;0
"   1.7.59.103.2.230030";30383,18;0;0;30383,18
"   1.7.59.103.2.230081";38396,6;38396,6;0;0
"   1.7.59.103.2.230082";0;0;0;0
"   1.7.59.103.2.240014";241044,9;241044,9;0;0
"   1.7.59.103.2.240015";216684,9;216684,9;0;0
"   1.7.59.103.2.240016";66545,01;66545,01;0;0
"   1.7.59.103.2.240017";216664,7;216664,7;0;0
"   1.7.59.103.2.240018";150000;150000;0;0
"   1.7.59.103.2.240019";343704,3;193705,65;149998,65;0
"   1.7.59.103.2.240020";104589,6;104589,6;0;0
"   1.7.59.103.2.240021";90000;90000;0;0
"   1.7.59.103.2.240023";366502,55;366502,55;0;0
"   1.7.59.103.2.240024";222031,53;222031,53;0;0
"   1.7.59.103.2.240025";167182,16;167182,16;0;0
"   1.7.59.103.2.240026";100000;100000;0;0
"   1.7.59.103.2.240027";47316,06;47316,06;0;0
"   1.7.59.103.2.240028";50620,35;50620,35;0;0
"   1.7.59.103.2.240029";222535,76;222535,76;0;0
"   1.7.59.103.2.240030";365927,1;365927,1;0;0
